,canonical_smiles,ic50_nm,pic50
0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,178625.02475840045,3.7480576980053906
1,NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,194.98,6.710009933945681
2,O=C(N/N=C/c1ccnc2cc(Cl)ccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,660.69,6.180002266489224
3,O=C(N/N=C/c1ccnc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,69.18,7.160019442321658
4,O=C(N/N=C/c1ccncc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6456.54,5.190000154058473
5,O=C(N/N=C/c1cccnc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,13489.63,4.869999962200743
6,O=C(N/N=C/c1ccccn1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,2884.03,5.540000226349733
7,O=C(N/N=C/c1ccco1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,79.43,7.100015437450609
8,O=C(N/N=C/c1cccs1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,75.86,7.119987161633229
9,O=C(N/N=C/c1ccc[nH]1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,79.43,7.100015437450609
10,O=C(N/N=C/c1c2ccccc2cc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6309.57,5.200000237109354
11,CN(C)c1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12,3311.31,5.480000159330324
12,COc1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12,9549.93,5.019999811738259
13,COc1ccc2ccccc2c1/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,5754.4,5.2399999527072705
14,O=C(N/N=C/c1ccc(C(F)(F)F)cc1C(F)(F)F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6456.54,5.190000154058473
15,O=C(N/N=C/c1c(F)c(F)c(F)c(F)c1F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,66069.34,4.180000031556896
16,O=C(N/N=C/c1ccccc1Cl)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,22.91,7.6399749108106025
17,COc1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)cc1,56234.13,4.25000001945443
18,O=C(N/N=C/c1ccc(O)cc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,5370.32,5.269999835325842
19,O=C(N/N=C/c1cccc(O)c1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,147.91,6.83000246293343
20,O=C(N/N=C/c1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,77.62,7.110026361596004
21,CC(C)(C)/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,144543.98,3.839999991210369
22,CC(C)/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,9772.37,5.010000098195094
23,CC/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,7762.47,5.110000065251387
24,O=C(NN(C(=O)c1ccccc1)C(=O)c1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,11220.18,4.950000175844591
25,O=C(NN(CCCc1ccccc1)CCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,13803.84,4.860000083248981
26,O=C(NNCCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,14125.38,4.849999859991125
27,O=C(NN(CCc1ccccc1)CCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,9549.93,5.019999811738259
28,O=C(NNCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,7943.28,5.100000128334196
29,CC(C)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,16595.87,4.779999975777493
30,O=C(NNC1CCCCC1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,77.62,7.110026361596004
31,O=C(NNC1CCCC1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,81.28,7.090016305060156
32,C=CCN(CC=C)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,54954.09,4.259999979340046
33,CCCCCCN(CCCCCC)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,7244.36,5.1399999760652255
34,CCCCCCNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,4786.3,5.32000008377078
35,CCC(C)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,512.86,6.2900011719748115
36,CCCCN(CCCC)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,8128.31,5.089999741487069
37,CCCCNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,13489.63,4.869999962200743
38,CCCN(CCC)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,5128.61,5.290000325166601
39,CCCNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,3801.89,5.420000452721523
40,O=C(NNc1ccc(F)cc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,1122.02,5.949999401714238
41,O=C(NNc1ccccc1F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,151.36,6.819988880942282
42,O=C(NNc1cccc(F)c1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,75.86,7.119987161633229
43,O=CNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,75857.76,4.119999985703918
44,CC(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,87.1,7.059981844992337
45,Oc1ccccc1C1=NN(C(=S)Nc2ccccc2)[C@H](c2cccs2)C1,500000.0,3.3010299956639813
47,Oc1ccccc1C1=NN(C(=S)Nc2ccccc2)[C@H](c2ccco2)C1,72000.0,4.142667503568732
49,NC(=S)N1N=C(c2ccccc2O)C[C@H]1c1ccc(O)cc1,125000.0,3.9030899869919438
50,Oc1ccccc1[C@@H]1CC(c2ccccc2)=NN1C(=S)Nc1ccccc1,42000.0,4.376750709602099
51,Oc1ccc(C2=NN(C(=S)Nc3ccccc3)[C@H](c3ccc(O)cc3)C2)cc1,105000.0,3.9788107009300617
52,COc1ccc(NC(=S)N2N=C(c3ccc(O)cc3O)C[C@H]2c2ccc(O)c(OC)c2)cc1,167000.0,3.7772835288524167
53,COc1cc([C@@H]2CC(c3ccc(O)cc3O)=NN2C(=S)Nc2ccccc2OC)ccc1O,55000.0,4.259637310505756
54,COc1cc([C@@H]2CC(c3ccc(O)cc3O)=NN2C(=S)Nc2ccccc2)ccc1O,333000.0,3.4775557664936803
55,COc1ccc(NC(=S)N2N=C(c3ccc(O)cc3O)C[C@H]2c2ccc(O)cc2)cc1,250000.0,3.6020599913279625
56,COc1ccccc1NC(=S)N1N=C(c2ccc(O)cc2O)C[C@H]1c1ccc(O)cc1,156000.0,3.8068754016455384
57,COc1cc([C@@H]2CC(c3ccccc3O)=NN2C(=S)Nc2ccccc2C)ccc1O,96000.0,4.017728766960432
58,Cc1ccccc1NC(=S)N1N=C(c2ccccc2O)C[C@H]1c1ccc(O)cc1,83000.0,4.080921907623926
59,Oc1ccc([C@@H]2CC(c3ccccc3O)=NN2C(=S)Nc2ccccc2)cc1,4000.0,5.3979400086720375
60,Cc1ccc(NC(=S)N2N=C(c3ccccc3O)C[C@H]2c2ccccc2O)cc1,208000.0,3.6819366650372385
61,Cc1ccccc1NC(=S)N1N=C(c2ccccc2O)C[C@H]1c1ccccc1O,42000.0,4.376750709602099
62,COc1ccc(NC(=S)N2N=C(c3ccccc3O)C[C@H]2c2ccccc2O)cc1,167000.0,3.7772835288524167
63,Oc1ccccc1C1=NN(C(=S)Nc2ccccc2)[C@H](c2ccccc2O)C1,65000.0,4.187086643357144
72,Oc1ccc([C@@H]2CC(c3ccc(O)cc3O)=NN2C(=S)Nc2ccccc2)cc1,167000.0,3.7772835288524167
80,CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(C)[C@@H]2CC=C3C(=O)OC[C@@H]3[C@@]12C,117000.0,3.9318141382538383
81,NNC(=O)c1ccncc1,13496.959355995976,4.869764059923413
